commit	val_bpb	memory_gb	status	description
383abb4	2.667000	26.9	keep	baseline (AdamW, default config)
c67ad2a	2.695369	26.9	discard	lower weight decay to 0.1
909dd59	2.588904	26.9	keep	halve total batch size to 2^16
4161af3	2.533728	26.9	keep	increase matrix LR to 0.04
5efc7aa	1.807902	20.7	keep	reduce depth from 8 to 4
2603270	1.620487	8.4	keep	pilot 2026-07-29 baseline on autoresearch/jul29-pilot
c38a16b	1.566742	8.4	keep	halve total batch size to 2^15
b67e26d	1.495913	6.9	keep	remove final logit cap
aa4be04	1.461336	6.9	keep	extend warmdown ratio to 0.75
1636a63	1.500074	6.9	discard	lower matrix lr to 0.03
bc96963	1.567052	6.9	discard	keep a 5% final lr floor
